Ticker,S&P 500 Sector,ETF Name
IVV,Multi,iShares Core S&P 500 ETF
IYW,Information Technology,iShares U.S. Technology ETF
IYH,Health Care,iShares U.S. Healthcare ETF
IYF,Financials,iShares U.S. Financials ETF
IYC,Consumer Discretionary,iShares U.S. Consumer Services ETF
IYJ,Industrials,iShares U.S. Industrials ETF
IYK,Consumer Staples,iShares U.S. Consumer Goods ETF
IYE,Energy,iShares U.S. Energy ETF
IDU,Utilities,iShares U.S. Utilities ETF
IYR,Real Estate,iShares U.S. Real Estate ETF
IYM,Materials,iShares U.S. Basic Materials ETF
